type,name
xmodelsurfs,#mp_aw_att_wm_sm_t9accurate_mixhandle_01_v12_l1_l14_tr_att_wm_sm_t9accurate_mixhandle_01_v12_l110v011
xmodelsurfs,#mp_aw_att_wm_sm_t9accurate_mixhandle_01_v12_l1_l14_tr_att_wm_sm_t9accurate_mixhandle_01_v12_l1_auto110v010
xmodelsurfs,#mp_aw_att_wm_sm_t9accurate_mixhandle_01_v12_l1_l14_tr_att_wm_sm_t9accurate_mixhandle_01_v12_l1_auto1_auto210v010
xmodelsurfs,#mp_aw_att_wm_sm_t9accurate_mixhandle_01_v12_l1_l14_tr_att_wm_sm_t9accurate_mixhandle_01_v12_l1_auto1_auto2_auto310v010
xmodelsurfs,#mp_aw_att_wm_sm_t9accurate_mixhandle_01_v12_l1_l14_tr_att_wm_sm_t9accurate_mixhandle_01_v12_l1_auto1_auto2_auto3_auto410v010
xmodeldetailcollision,#attachment_wm_sm_t9accurate_mixhandle_01_v12
material,#mo/attachment_vm_sm_t9accurate_v12_mixhandle_01
material,#mo/attachment_vm_sm_t9accurate_v12_ribbon
xmodel,#attachment_wm_sm_t9accurate_mixhandle_01_v12
